Resort,Country,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Snow cannons,Total lifts,Lift capacity,Snowparks,Nightskiing,latitude,longitude,Snow
El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),Andorra,47,November - April,2640,1710,100,77,33,210,1032,72,99017,Yes,Yes,42.625,1.625,77.44714285714285
Bansko,Bulgaria,30,December - April,2560,990,20,24,3,47,380,17,24233,Yes,Yes,41.875,23.375,30.77333333333333
Kitzsteinhorn - Kaprun,Austria,50,July,3029,1978,13,25,3,41,105,17,33598,Yes,No,47.125,12.625,48.94916666666666
Glencoe Mountain,United Kingdom,35,December - April,1070,360,7,10,7,24,0,8,5800,No,No,56.625,-5.125,51.836666666666666
Sölden,Austria,53,September - May,3340,1350,70,44,29,143,363,36,70370,Yes,Yes,46.875,11.125,64.8625
Kuühtai,Austria,37,November - April,2520,1938,6,26,8,40,80,12,17254,Yes,Yes,47.125,11.125,82.33857142857143
Obertauern,Austria,46,November - May,2313,1630,61,35,4,100,280,31,50797,Yes,Yes,47.125,13.625,69.98
Elfer Neustift,Austria,29,December - March,2080,981,0,7,0,7,0,4,2980,No,No,47.125,11.375,69.12142857142857
Serfaus-Fiss-Ladis,Austria,49,December - April,2820,1200,47,123,28,198,1250,68,78460,Yes,Yes,47.125,10.625,55.962857142857146
Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,Austria,52,December - April,1900,800,52,41,19,112,520,35,49232,Yes,Yes,47.375,12.875,64.63166666666666
Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,Austria,52,December - April,2500,630,40,66,30,136,286,57,82432,Yes,No,47.125,11.875,74.86
St. Anton (Ski Arlberg),Austria,53,December - April,2811,1270,130,123,51,304,747,113,145127,Yes,No,47.125,10.125,63.622
Axamer Lizum,Austria,38,November - April,2340,1580,7,21,2,30,0,10,13322,Yes,No,47.125,11.375,69.12142857142857
Flachau (Ski amedé),Austria,52,November - April,1980,740,30,81,4,115,600,49,75398,Yes,No,47.375,13.375,67.78333333333333
Ski Juwel Alpbachtal Wildscho?nau,Austria,46,December - April,2025,830,25,53,13,91,294,47,52789,Yes,Yes,47.375,11.875,54.13333333333333
Ischgl,Austria,52,November - May,2872,1377,47,142,49,238,1200,45,88215,Yes,No,46.875,10.375,59.84222222222221
Bad Gastein,Austria,52,November - April,2300,860,30,52,2,84,800,26,32699,Yes,No,47.125,13.125,64.5175
Gargellen,Austria,47,December - April,2300,1423,20,5,2,27,83,9,10650,Yes,No,46.875,9.875,66.72999999999999
Lech (Ski Arlberg),Austria,53,December - April,2811,1270,130,123,51,304,747,113,145127,Yes,No,47.125,10.125,63.622
Kitzbühel / Kirchberg (KitzSki),Austria,55,October - April,2000,800,101,61,17,179,1102,54,92510,Yes,Yes,47.375,12.375,68.55375
Galtu?r,Austria,40,December - April,2300,1600,6,25,12,43,133,13,15442,Yes,Yes,46.875,10.125,71.55583333333333
Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,53,November - April,2096,830,140,112,18,270,927,71,135104,Yes,Yes,47.375,12.625,83.07142857142857
Schladming (4-Berge-Skischauke),Austria,52,April,2015,745,46,68,8,122,600,46,71842,Yes,Yes,47.375,13.625,57.8725
Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,49,December - April,1957,620,122,129,33,284,1700,105,147250,Yes,Yes,47.625,12.375,52.35999999999999
Zauchensee,Austria,52,April,2188,1000,23,16,4,43,113,19,25988,Yes,No,47.375,13.375,67.78333333333333
Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,49,December - April,1957,620,122,129,33,284,1700,105,147250,Yes,Yes,47.375,12.125,69.29142857142857
Silvretta Montafon,Austria,53,November - April,2430,700,60,45,8,113,330,53,67472,Yes,No,47.125,9.875,44.544285714285714
Zürs (Ski Arlberg),Austria,53,December - April,2811,1270,130,123,51,304,747,113,145127,Yes,No,47.125,10.125,63.622
Söll (SkiWelt Wilder Kaiser-Brixental),Austria,49,December - April,1957,620,122,129,33,284,1700,105,147250,Yes,Yes,47.625,12.125,67.32249999999999
St. Johann in Tirol,Austria,44,December - April,1604,659,16,23,3,42,260,20,21100,No,Yes,47.625,12.375,52.35999999999999
St. Christoph (Ski Arlberg),Austria,53,December - April,2811,1270,130,123,51,304,747,113,145127,Yes,No,47.125,15.375,8.4625
Courmayeur / Che?crouit -? Val Veny,Italy,46,Unknown,2755,1205,16,21,4,41,280,18,24497,Yes,No,45.875,6.875,57.44833333333333
Sierra Nevada-Pradollano,Spain,47,November - May,3282,2100,50,49,7,106,350,21,59205,Yes,Yes,37.125,-3.375,1.6724999999999999
Cortina d'Ampezzo,Italy,52,November - April,2924,1224,45,55,20,120,130,40,48089,Yes,No,46.625,12.125,77.27714285714286
Val Senales Glacier,Italy,44,October - May,3212,2011,8,7,11,26,0,14,15838,Yes,No,46.875,10.875,86.02416666666666
Saas-Fee,Switzerland,63,July - April,3573,1800,20,60,20,100,102,25,25160,Yes,No,46.125,7.875,62.5
Champoluc (Monterosa Ski),Italy,43,December - April,3275,1212,23,94,15,132,655,30,31984,Yes,No,45.875,7.625,75.25285714285714
Kronplatz (Plan de Corones),Italy,54,November - April,2275,973,52,42,25,119,450,32,71205,Yes,Yes,46.625,11.875,84.42
Formigal,Spain,44,November - April,2251,1501,47,70,20,137,440,20,29450,Yes,No,42.875,-0.375,64.665
Baqueira / ?Beret,Spain,50,December - April,2510,1471,79,52,19,150,629,35,53997,Yes,No,42.625,0.875,59.50428571428572
Sauze d’Oulx (Via Lattea),Italy,48,November - April,2749,1372,96,220,84,400,0,71,96433,No,Yes,45.125,6.875,72.04777777777778
Cervinia,Switzerland,81,Year-round,3899,1562,75,220,27,322,1060,63,93464,Yes,No,45.875,7.625,75.25285714285714
Wasserngrat (Gstaad),Switzerland,54,December - March,1900,1275,3,3,2,8,0,1,900,No,No,46.375,7.375,60.379999999999995
Wispile (Gstaad),Switzerland,54,December - March,1941,1046,3,3,1,7,0,5,3601,No,Yes,46.375,7.375,60.379999999999995
Crans-Montana,Switzerland,60,November - April,1510,540,55,70,15,140,0,23,29500,Yes,No,46.375,7.625,53.306999999999995
Brunni - Engelberg,Switzerland,38,December - April,2040,1050,2,3,2,7,0,5,2577,No,No,46.875,8.375,44.53875
Arosa Lenzerheide,Switzerland,63,October - April,2865,1229,111,87,27,225,0,50,63936,Yes,Yes,46.875,9.625,83.07285714285715
Verbier (4 Valle?es),Switzerland,66,December - April,3330,821,107,202,103,412,0,75,85022,Yes,Yes,46.125,7.375,59.674285714285716
St. Moritz - Corviglia,Switzerland,69,November - April,3057,1720,42,79,34,155,170,28,31220,Yes,No,46.625,9.875,66.96799999999999
Gresse en Vercors,France,19,December - March,1751,1245,8,7,5,20,51,11,6808,Yes,No,44.875,5.625,11.811666666666667
Nendaz (4 Valle?es),Switzerland,66,December - April,3330,821,107,202,103,412,0,75,85022,Yes,Yes,46.125,7.375,59.674285714285716
Villars -? Gryon / Les Diablerets,Switzerland,54,December - April,2120,1224,51,45,4,100,0,33,38905,Yes,No,46.375,7.125,63.38857142857143
Thyon (4 Valle?es),Switzerland,66,December - April,3330,821,107,202,103,412,0,75,85022,Yes,Yes,46.125,7.375,59.674285714285716
Veysonnaz (4 Valle?es),Switzerland,66,December - April,3330,821,107,202,103,412,0,75,85022,Yes,Yes,46.125,7.375,59.674285714285716
Buchenberg-Buching-Halblech-,Germany,25,December - March,1140,810,2,4,0,6,0,3,2800,No,No,47.625,10.875,51.31333333333333
Alpendorf (Ski amedé),Austria,52,November - April,1980,740,30,81,4,115,600,49,75398,Yes,No,47.375,13.125,69.29166666666667
Me?ribel (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
?Les Menuires (Les 3 Valle?es),France,61,November - May,3230,1110,312,216,72,600,2383,165,250860,Yes,Yes,45.375,6.625,70.69
Les Sybelles-Le Corbier-?La Toussuire-?Les Bottie?res-?St Colomban des Villards-?St Sorlin-?St Jean d’Arves,France,44,December - April,2620,1100,53,239,18,310,514,72,83807,Yes,Yes,45.375,6.125,51.857142857142854
Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,France,47,December - April,2476,694,135,95,35,265,1100,72,97624,Yes,No,46.125,6.625,73.36
Mege?ve-?Saint-Gervais,France,46,December - April,2353,850,98,134,31,263,888,86,106362,Yes,Yes,45.875,6.625,67.39
